equivalent_accel_m_s2,field,candidate_Nm,bootstrap_p05_Nm,bootstrap_p95_Nm,observed_seconds_in_bin,episodes_in_bin
0.0,GMP_WHEEL_TORQUE,179,161,214,51.1,13
0.25,GMP_WHEEL_TORQUE,301,281,343,37.2,11
0.5,GMP_WHEEL_TORQUE,424,389,474,35.2,9
0.75,GMP_WHEEL_TORQUE,547,493,604,17.2,6
1.0,GMP_WHEEL_TORQUE,670,598,737,9.0,4
0.0,GMP_POTENTIAL_WHEEL_TORQUE,169,136,232,51.1,13
0.25,GMP_POTENTIAL_WHEEL_TORQUE,279,241,346,37.2,11
0.5,GMP_POTENTIAL_WHEEL_TORQUE,390,335,460,35.2,9
0.75,GMP_POTENTIAL_WHEEL_TORQUE,501,427,575,17.2,6
1.0,GMP_POTENTIAL_WHEEL_TORQUE,612,516,690,9.0,4
